pA,pB
70000,70000
87487.44667,87509.33333
94504.38754,94565.0648
96025.82091,96171.94954
93985.4475,94296.1359
95821.61009,96242.59926
94872.9526,95411.79777
95066.93438,95680.62797
95076.50691,95792.25829
95040.18527,95826.74836
94983.78998,95882.24299
94939.13936,95926.93979
94869.59483,95996.58764
94809.70744,96056.58682
94722.20851,96144.2646
94643.79471,96222.86417
94535.94477,96330.99531
94437.01075,96430.22668
94307.03037,96560.63705
94185.81468,96682.3112
94031.51579,96837.25151
93885.55866,96983.89668
93703.65464,97166.74126
93529.26359,97342.14766
93315.09635,97557.68004
93107.18741,97767.07294
92854.69994,98021.53045
92606.80471,98271.58235
92308.57,98572.65037
92012.84982,98871.49298
91660.0535,99228.35415
91307.24726,99585.66697
90889.58678,100009.1463
90468.8717,100436.3467
89974.3712,100939.1588
89473.14611,101449.69
88887.90799,102046.7736
88291.52661,102656.4713
87599.45431,103365.3871
86890.94802,104092.8941
86073.4854,104934.2505
85233.326,105801.4429
84269.27189,106799.3045
83275.24234,107831.6748
82140.7233,109013.8856
80967.99583,110240.7951
79636.72224,111639.1019
78258.29645,113093.7591
76702.29347,114743.5412
75090.0247,116462.4615
73281.12047,118401.7543
71407.66841,120423.3165
69320.1253,122690.6486
67162.24964,125052.1817
64776.99855,127682.559
62320.65872,130415.2212
59631.54227,133433.4702
56879.08192,136554.1571
53901.14029,139964.9951
50880.22316,143464.9345
47659.10168,147239.9669
44431.75653,151070.9819
41051.59953,155134.8108
37719.74288,159196.8538
34304.84049,163417.7138
31006.86501,167554.6998
27711.41478,171748.0902
24605.06816,175760.7548
21588.35619,179713.6604
18820.60206,183393.7294
16212.91912,186908.1791
13886.68836,190085.7109
11760.06562,193025.9235
9913.512045,195608.7908
8271.884556,197928.4867
6880.212438,199913.7113
5672.418742,201650.5755
4668.48006,203104.8596
3813.97267,204350.2025
3114.300132,205375.3614
2527.564927,206238.7992
2052.306991,206940.8299
1658.091645,207524.9148
1341.109887,207995.7814
1080.224357,208384.1157
871.44066,208695.4333
700.5470197,208950.602
564.1761032,209154.4562
452.9837274,209320.8221
364.3974176,209453.4639
292.3639663,209561.3844
235.0208131,209647.3376
188.4839295,209717.1197
151.4473176,209772.6736
121.4335128,209817.7046
97.54518533,209853.5526
78.20756713,209882.5762
62.81236162,209905.6857
50.36047359,209924.379
40.4433509,209939.2683
32.42766032,209951.3035
